iter	Passed	Remaining
409	3762	5414
410	3770	5403
411	3778	5391
412	3786	5381
413	3793	5369
414	3801	5358
415	3809	5347
416	3817	5337
417	3825	5326
418	3833	5315
419	3841	5305
420	3849	5294
421	3857	5282
422	3864	5271
423	3872	5260
424	3879	5248
425	3887	5237
426	3894	5225
427	3902	5215
428	3910	5204
429	3919	5195
430	3926	5184
431	3935	5174
432	3942	5162
433	3950	5151
434	3957	5140
435	3965	5129
436	3972	5117
437	3980	5107
438	3989	5097
439	3997	5087
440	4005	5077
441	4013	5066
442	4021	5056
443	4029	5045
444	4036	5034
445	4044	5023
446	4052	5013
447	4059	5001
448	4068	4992
449	4075	4980
450	4084	4971
451	4091	4960
452	4099	4950
453	4106	4938
454	4115	4929
455	4122	4918
456	4131	4909
457	4140	4899
458	4151	4892
459	4159	4882
460	4167	4872
461	4174	4861
462	4182	4851
463	4189	4839
464	4197	4829
465	4204	4818
466	4212	4808
467	4219	4796
468	4229	4788
469	4236	4777
470	4244	4767
471	4251	4756
472	4260	4746
473	4267	4735
474	4275	4725
475	4282	4714
476	4290	4704
477	4300	4695
478	4310	4688
479	4317	4677
480	4326	4667
481	4333	4657
482	4342	4647
483	4349	4636
484	4357	4626
485	4364	4616
486	4372	4606
487	4380	4595
488	4388	4585
489	4395	4575
490	4403	4564
491	4411	4554
492	4419	4544
493	4428	4535
494	4436	4525
495	4443	4515
496	4450	4504
497	4458	4494
498	4466	4484
499	4475	4475
500	4482	4464
501	4490	4454
502	4497	4444
503	4506	4434
504	4513	4424
505	4522	4415
506	4529	4404
507	4537	4394
508	4548	4387
509	4556	4377
510	4563	4366
511	4572	4357
512	4579	4347
513	4588	4338
514	4595	4328
515	4605	4319
516	4612	4309
517	4621	4300
518	4628	4290
519	4637	4281
520	4645	4270
521	4653	4261
522	4660	4250
523	4669	4241
524	4676	4231
525	4685	4221
526	4692	4211
527	4700	4201
528	4707	4191
529	4715	4181
530	4722	4171
531	4730	4161
532	4737	4151
533	4745	4140
534	4753	4131
535	4760	4121
536	4769	4111
537	4776	4101
538	4784	4092
539	4791	4081
540	4800	4072
541	4807	4062
542	4816	4053
543	4823	4043
544	4832	4034
545	4841	4025
546	4849	4016
547	4857	4006
548	4865	3996
549	4872	3986
550	4881	3977
551	4888	3967
552	4896	3957
553	4903	3947
554	4912	3939
555	4920	3929
